iter	MAE
0	3.002140356
1	2.966975682
2	2.932219694
3	2.898910256
4	2.868298643
5	2.838777944
6	2.810183741
7	2.783358372
8	2.757309602
9	2.733108686
10	2.708961801
11	2.687989962
12	2.666100697
13	2.645003602
14	2.626881085
15	2.608813012
16	2.592020598
17	2.574773184
18	2.558475076
19	2.542652549
20	2.527591039
21	2.513531035
22	2.500085461
23	2.488486566
24	2.476044747
25	2.464367134
26	2.455228362
27	2.44325914
28	2.431965677
29	2.421100266
30	2.411458021
31	2.402634016
32	2.394208596
33	2.385968937
34	2.378649982
35	2.371438266
36	2.364417499
37	2.357227135
38	2.35118775
39	2.345179665
40	2.337931098
41	2.332447149
42	2.326779344
43	2.321154405
44	2.316842349
45	2.311200594
46	2.306202173
47	2.302185768
48	2.298680647
49	2.294486371
50	2.290389011
51	2.286533854
52	2.282481588
53	2.278159832
54	2.274816959
55	2.271772534
56	2.268665431
57	2.26559737
58	2.262599354
59	2.260397177
60	2.257877369
61	2.255251503
62	2.252918408
63	2.250753162
64	2.248292627
65	2.245878857
66	2.244167626
67	2.242106261
68	2.239697877
69	2.237957972
70	2.23628912
71	2.234648025
72	2.232472404
73	2.230495123
74	2.228600749
75	2.226739766
76	2.225350855
77	2.224103462
78	2.222322577
79	2.220866935
80	2.219179748
81	2.217761709
82	2.2162664
83	2.21499504
84	2.213354618
85	2.212594658
86	2.211427053
87	2.210120169
88	2.208766279
89	2.2072619
90	2.206579109
91	2.205271322
92	2.204295293
93	2.203229204
94	2.202242545
95	2.201263183
96	2.200353581
97	2.199027989
98	2.198266332
99	2.197516402
100	2.19645776
101	2.195818773
102	2.195256502
103	2.194085503
104	2.193466912
105	2.192749452
106	2.191889233
107	2.191245765
108	2.19055014
109	2.189532287
110	2.189199925
111	2.188743285
112	2.188034313
113	2.187298309
114	2.18653929
115	2.185857919
116	2.185394637
117	2.184551959
118	2.183631734
119	2.182896144
120	2.182536556
121	2.18188874
122	2.181318469
123	2.180458956
124	2.18006278
125	2.179101246
126	2.177966823
127	2.177682688
128	2.177028577
129	2.176440328
130	2.176121547
131	2.175428543
132	2.174782119
133	2.174241212
134	2.17361916
135	2.17339562
136	2.173124474
137	2.172832758
138	2.172185833
139	2.171707667
140	2.171426765
141	2.170949608
142	2.170829889
143	2.17015651
144	2.169857467
145	2.169569934
146	2.169204589
147	2.16893232
148	2.168348318
149	2.167918212
150	2.16713251
151	2.16676119
152	2.166334698
153	2.165687938
154	2.165209341
155	2.164640923
156	2.164272939
157	2.163885265
158	2.16352887
159	2.163055883
160	2.162886285
161	2.162549425
162	2.162376754
163	2.162249515
164	2.162126856
165	2.161579624
166	2.161299246
167	2.16093134
168	2.160699272
169	2.159976161
170	2.159775296
171	2.159496134
172	2.159313487
173	2.15896562
174	2.158520919
175	2.157925771
176	2.157786479
177	2.157264119
178	2.157107629
179	2.156292507
180	2.156189423
181	2.156021094
182	2.155809084
183	2.155657327
184	2.155290862
185	2.154817782
186	2.154463345
187	2.154172397
188	2.154016891
189	2.153616695
190	2.153235152
191	2.152853493
192	2.152379782
193	2.151787842
194	2.151397493
195	2.150880424
196	2.150713076
197	2.150292548
198	2.150079223
199	2.149804302
200	2.14961131
201	2.149290213
202	2.149123459
203	2.148993898
204	2.148684865
205	2.148477401
206	2.148029286
207	2.147778605
208	2.147578709
209	2.147243884
210	2.147130624
211	2.146702577
212	2.146542714
213	2.146192524
214	2.145932681
215	2.145566221
216	2.145400791
217	2.145196854
218	2.144922084
219	2.144655988
220	2.144531388
221	2.144388122
222	2.144056988
223	2.143806037
224	2.143790908
225	2.143473183
226	2.14322878
227	2.142986785
228	2.142784125
229	2.142475598
230	2.142193406
231	2.142152055
232	2.142034612
233	2.141681417
234	2.141499787
235	2.141404393
236	2.141177272
237	2.140912837
238	2.140736308
239	2.140411331
240	2.139811455
241	2.139360924
242	2.139153356
243	2.138958825
244	2.138509253
245	2.138365957
246	2.137951234
247	2.137663627
248	2.137555663
249	2.137295309
250	2.13701079
251	2.136761265
252	2.136540609
253	2.135965549
254	2.13567914
255	2.135599869
256	2.135092801
257	2.134609167
258	2.13441756
259	2.134319254
260	2.134155189
261	2.134019876
262	2.133668711
263	2.133416299
264	2.133024357
265	2.132786447
266	2.132589928
267	2.132160765
268	2.132083484
269	2.131833259
270	2.131453802
271	2.131296301
272	2.130911479
273	2.130811282
274	2.130604562
275	2.130422429
276	2.130256419
277	2.130135061
278	2.129611733
279	2.129522986
280	2.129391531
281	2.129211918
282	2.129075649
283	2.12886084
284	2.128492138
285	2.128255989
286	2.12802043
287	2.127986311
288	2.12793518
289	2.127711673
290	2.127611829
291	2.127454744
292	2.127445728
293	2.127169009
294	2.126799645
295	2.126655633
296	2.126549967
297	2.126147152
298	2.126078766
299	2.125901279
300	2.125656079
301	2.125224719
302	2.125059014
303	2.124754635
304	2.124337339
305	2.124325312
306	2.124012893
307	2.123901102
308	2.123535065
309	2.12326428
310	2.123232421
311	2.122979949
312	2.122800571
313	2.122681888
314	2.12236359
315	2.121931249
316	2.121836685
317	2.121625784
318	2.121402247
319	2.121275351
